Expected Task Name,Utterance,Type of Utterance
pay a bill,Surcharge for additional services subscription has to be given to the service provider,Structurally Different
pay a bill,Penalty of Rs 500 has to be given for late submission of fees,Structurally Different
None,Ebay will reimburse for merchandise purchase,Negative
None,How much do I have to pay for the conveyance charges?,Negative
None,Need review of my previous payments,Negative
None,What is the status of my pending payments?,Negative
None,I need to pay a lot of interest for the EMI,Negative
None,could you please cancel my paid transaction?,Negative
None,When can i apply for money repayment?,Negative
None,Update my phone number for my account,Negative
None,i need to know under what conditions does a debit card get deactivated.,Negative
None,i need to know if my pension been debited?,Negative
None,What if i sent money to the wrong account?,Negative
None,need your help in issuing a new cheque book,Negative
pay a bill,Please make a 1200USD payment to transco,Negative
None,Water bill is 600 please pay accordingly,Negative
None,I want to Change for $12 bill,Negative
None,are you charging for online bill payments?,Negative
None,My bill payment was not successfull will amount be refunded.,Negative
None,will the bill receipt be sent to my email.,Negative
pay a bill,Please paybill,Spell Errors
pay a bill,Pay bIll,Spell Errors
pay a bill,Clear the invoive,Spell Errors
pay a bill,Please make a payment of USD 100 to my Uber account,Spell Errors
pay a bill,Pat 100 to his accont,Spell Errors
pay a bill,Perchaise of 1000 made on accoumt,Spell Errors
view account balance,What's my Outstanding account balance?,Positive
view account balance,How much money is left in my account?,Positive
view account balance,What's my outstanding balance?,Positive
view account balance,How much money am i left with?,Positive
view account balance,What's the updated account balance,Positive
view account balance,Want to view my account statement,Positive
view account balance,What are current savings in my account,Positive
view account balance,Can I have my bank statement,Positive
view account balance,Want to get my account balance,Positive
view account balance,Want to review my outstanding bank credit,Positive
view account balance,What amount is available in my account?,Positive
view account balance,What is my bank balance,Positive
view account balance,generate my bank statement,Positive
view account balance,generate my account balance sheet,Positive
view account balance,generate my outstanding balance statement,Positive
view account balance,generate my account information,Positive
view account balance,Need to view my balance,Positive
view account balance,have to view current balance,Positive
view account balance,show me updated balance,Positive
view account balance,Show the savings status,Positive
view account balance,generate a balance inquiry on my account,Positive
view account balance,I need a mini statement on my account balance,Positive
view account balance,Notify me on the remaining balance in account,Positive
view account balance,How much money do i have?,Positive
view account balance,Can you tell me the opening balance,Positive
view account balance,View the opening balance,Positive
view account balance,View the current opening balance of my current account,Positive
view account balance,I want to know why has my cheque bounced?,Structurally Different
view account balance,How much money is unused in my ac now?,Structurally Different
None,Can I view my account balance on mobile app?,Negative
None,How can i know the rate of interest for savings account?,Negative
None,Can there be a co-holder for savings account?,Negative
None,How safe is it to view account balance on net banking?,Negative
None,How can I link my account info to my alternate account,Negative
view account balance,Wat's my ac bal?,Spell Errors
view account balance,Is my ac bal up to date?,Spell Errors
view account balance,How many $ remaining in my ac nw?,Spell Errors
view account balance,View belounce account informmation,Spell Errors
view account balance,How muc maney is ldft in my account?,Spell Errors
pay a bill,pay credit card,Structurally Different
pay a bill,pay for credit card,Positive
pay a bill,pay credit card bill,Positive
None,need a bank,Structurally Different
transfer funds,would want to Wire some cash,Positive
None,would like to have fun,Negative
None,need a bean bag,Negative
pay a bill,i want to pay credit card bill,Positive
None,can you help me get a visa,Negative
None,may i get some green peas?,Negative
None,may i get a newspaper delivered at my office?,Negative
None,i want to invest money in bitcoin,Negative
